STATEFP,COUNTYFP,NAME,NAMELSAD,AGENCY,LARNAME,Tribe Name,State has Criminal Jurisdiction?,PL280?,Retrocession?,Retrocession Date,Partial Jurisdiction?,notes,citations,Uncertain/Needs lawyer confirmation,Error
4,7,Gila,Gila County,Fort Apache,Fort Apache LAR,White Mountain Apache Tribe,0,,,,,,,,
4,9,Graham,Graham County,Fort Apache,Fort Apache LAR,White Mountain Apache Tribe,0,,,,,,,,
4,1,Apache,Apache County,Fort Apache,Fort Apache LAR,White Mountain Apache Tribe,0,,,,,,,,
4,13,Maricopa,Maricopa County,Salt River,Fort McDowell LAR,Fort McDowell Yavapai Nation,0,,,,,,,,
4,27,Yuma,Yuma County,Fort Yuma,Fort Yuma (Quechan) LAR,Quechan Tribe,0,,,,,,,,
4,13,Maricopa,Maricopa County,Unknown,Gila Bend LAR,Gila River Indian Community,0,,,,,,,,
4,21,Pinal,Pinal County,Pima,Gila River LAR,Gila River Indian Community,0,,,,,,,,
4,13,Maricopa,Maricopa County,Pima,Gila River LAR,Gila River Indian Community,0,,,,,,,,
4,17,Navajo,Navajo County,Hopi,Hopi LAR,Hopi Tribe,0,,,,,,,,
4,5,Coconino,Coconino County,Hopi,Hopi LAR,Hopi Tribe,0,,,,,,,,
4,1,Apache,Apache County,Hopi,Hopi LAR,Hopi Tribe,0,,,,,,,,
4,5,Coconino,Coconino County,Truxton Canon,Hualapai LAR,Hualapi Tribe,0,,,,,,,,
4,15,Mohave,Mohave County,Truxton Canon,Hualapai LAR,Hualapi Tribe,0,,,,,,,,
4,25,Yavapai,Yavapai County,Truxton Canon,Hualapai LAR,Hualapi Tribe,0,,,,,,,,
4,5,Coconino,Coconino County,Southern Paiute,Kaibab LAR,Kaibab Band of Paiute,0,,,,,,,,
4,15,Mohave,Mohave County,Southern Paiute,Kaibab LAR,Kaibab Band of Paiute,0,,,,,,,,
4,21,Pinal,Pinal County,Pima,Maricopa (Ak-Chin) LAR,Ak Chin Indian Community,0,,,,,,,,
4,19,Pima,Pima County,Unknown,Pascua Yaqui LAR,Pascua Yaqui Tribe,0,,1,1985,,"PL 280 jurisdiction of the State of Arizona over the Pascua Yaqui Reservation was entirely retroceded on August 14, 1985, through a declaration of the Governor of Arizona, who clarified that any exercise of PL 280 jurisdiction would violate the Constitution of Arizona.",,,
4,13,Maricopa,Maricopa County,"Salt River
",Salt River LAR,Salt River Pime-Maricopa Indian Community,0,,,,,,,,
4,21,Pinal,Pinal County,San Carlos,San Carlos LAR,San Carlos Tribe,0,,,,,,,,
4,17,Navajo,Navajo County,San Carlos,San Carlos LAR,San Carlos Tribe,0,,,,,,,,
4,11,Greenlee,Greenlee County,San Carlos,San Carlos LAR,San Carlos Tribe,0,,,,,,,,
4,7,Gila,Gila County,San Carlos,San Carlos LAR,San Carlos Tribe,0,,,,,,,,
4,9,Graham,Graham County,San Carlos,San Carlos LAR,San Carlos Tribe,0,,,,,,,,
4,1,Apache,Apache County,San Carlos,San Carlos LAR,San Carlos Tribe,0,,,,,,,,
4,19,Pima,Pima County,Papago,San Xavier LAR,Tohono O'odham Nation,0,,,,,,,,
4,21,Pinal,Pinal County,Papago,Tohono O'odham LAR,Tohono O'odham Nation,0,,,,,,,,
4,13,Maricopa,Maricopa County,Papago,Tohono O'odham LAR,Tohono O'odham Nation,0,,,,,,,,
4,19,Pima,Pima County,Papago,Tohono O'odham LAR,Tohono O'odham Nation,0,,,,,,,,
4,7,Gila,Gila County,Truxton Canon,Tonto Apache LAR,Tonto Apache Tribe,0,,,,,,,,
4,25,Yavapai,Yavapai County,Unknown,Yavapai LAR,Yavapai-Prescott Tribe,0,,,,,need to confirm that this is the correct tribe name (might be Yavapai-Apache),,,
4,15,Mohave,Mohave County,Truxton Canon,Big Sandy (Truxton Canyon) LAR,Hualapai Tribe,0,,,,,,,,
4,3,Cochise,Cochise County,Unknown,Fort Sill Arizona LAR,Fort Sill Apache Tribe,0,,,,,,,,
4,25,Yavapai,Yavapai County,Truxton Canon,Camp Verde LAR,Yavapai-Apache Nation,0,,,,,,,,
4,15,Mohave,Mohave County,Colorado River,Fort Mojave LAR,Fort Mojave Tribe,0,,,,,,,,
4,5,Coconino,Coconino County,Truxton Canon,Havasupai LAR,Havasupai Tribe,0,,,,,,,,
4,1,Apache,Apache County,Zuni,Zuni LAR,Zuni Tribe,0,,,,,,,,
4,17,Navajo,Navajo County,Navajo,Navajo LAR,Navajo Nation,0,,,,,,,,
4,5,Coconino,Coconino County,Navajo,Navajo LAR,Navajo Nation,0,,,,,,,,
4,1,Apache,Apache County,Navajo,Navajo LAR,Navajo Nation,0,,,,,,,,
4,1,Apache,Apache County,Ute Mountain Ute,Ute Mountain Ute LAR,Ute Mountain Ute Tribe,0,,,,,,,,
4,15,Mohave,Mohave County,Colorado River,Chemehuevi LAR,Chemehuevi Tribe,0,,,,,,,,
6,65,Riverside,Riverside County,Palm Springs,Agua Caliente LAR,Agua Caliente Tribe,1,1,,,,,"Understanding Tribal-State Jurisdiction. (n.d.). Native American Rights Fund. Retrieved August 13, 2025, from https://narf.org/tribal-state-jurisdiction/",,
6,49,Modoc,Modoc County,Northern California,Alturas LAR,Alturas Ranchiera,1,1,,,,,,,
6,61,Placer,Placer County,Central California,Auburn LAR,United Auburn Indian Community,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Augustine LAR,Augustine Band of Mission Indians,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Barona LAR,Barona Band of Mission Indians,1,1,,,,,,,
6,51,Mono,Mono County,Central California,Benton Paiute LAR,Utu Utu Gwaitu Paiute Tribe,1,1,,,,Tribe not listed on BIA site,,,
6,7,Butte,Butte County,Central California,Berry Creek LAR,Berry Creek Rancheria,1,1,,,,,,,
6,89,Shasta,Shasta County,Northern California,Big Bend LAR,Pit River Tribe,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Big Lagoon LAR,Big Lagoon Rancheria,1,1,,,,,,,
6,27,Inyo,Inyo County,Central California,Big Pine LAR,Pig Pine Paiute Tribe,1,1,,,,,,,
6,19,Fresno,Fresno County,Central California,Big Sandy LAR,Big Sandy Rancheria,1,1,,,,,,,
6,33,Lake,Lake County,Central California,Big Valley LAR,Big Valley Rancheria,1,1,,,,,,,
6,27,Inyo,Inyo County,Central California,Bishop LAR,Bishop Paiute Tribe,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Blue Lake LAR,Blue Lake Rancheria,1,1,,,,,,,
6,51,Mono,Mono County,Central California,Bridgeport LAR,Bridgeport Indian Colony,1,1,,,,,,,
6,5,Amador,Amador County,Central California,Buena Vista LAR,Buena Vista Rancheria,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Cabazon LAR,Cabazon band of Cahuilla Indians,1,1,,,,check that this is the correct tribe name: not listed on agency website,,,
6,65,Riverside,Riverside County,Southern California,Cahuilla LAR,Cahuilla Band of Mission Indians,1,1,,,,check that this is the correct tribe name,,,
6,73,San Diego,San Diego County,Southern California,Campo LAR,Campo Band of Mission Indians,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Capitan Grande LAR,(maybe) Barona Band of Mission Indians,1,1,,,,tribe name unclear again,,,
6,49,Modoc,Modoc County,Northern California,Cedarville LAR,Cedarville Ranceria,1,1,,,,,,,
6,109,Tuolumne,Tuolumne County,Central California,Chicken Ranch LAR,Chicken Ranch Rancheria,1,1,,,,,,,
6,7,Butte,Butte County,Central California,Chico LAR,Chico Rancheria,1,1,,,,,,,
6,97,Sonoma,Sonoma County,Central California,Cloverdale LAR,Cloverdale Rancheria,1,1,,,,,,,
6,19,Fresno,Fresno County,Central California,Cold Springs LAR,Cold Springs Rancheria,1,1,,,,,,,
6,11,Colusa,Colusa County,Central California,Colusa LAR,Colusa Rancheria,1,1,,,,,,,
6,11,Colusa,Colusa County,Central California,Cortina Indian LAR,Cortina Rancheria,1,1,,,,,,,
6,45,Mendocino,Mendocino County,Central California,Coyote Valley LAR,Coyote Valley,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Cuyapaipe LAR,Ewiiaapaayp Band of Kumeyaay Indians,1,1,,,,,,,
6,97,Sonoma,Sonoma County,Central California,Dry Creek LAR,Dry Creek Rancheria,1,1,,,,,,,
6,33,Lake,Lake County,Central California,Elem LAR,Elem Indian Colony,1,1,,,,,,,
6,15,Del Norte,Del Norte County,Northern California,Elk Valley LAR,Elk Valley Rancheria,1,1,,,,,,,
6,115,Yuba,Yuba County,Central California,Enterprise LAR,Enterprise Rancheria,1,1,,,,,,,
6,7,Butte,Butte County,Central California,Enterprise LAR,Enterprise Rancheria,1,1,,,,,,,
6,49,Modoc,Modoc County,Northern California,Fort Bidwell LAR,Fort Bidwell Indian Community,1,1,,,,,,,
6,27,Inyo,Inyo County,Central California,Fort Independence LAR,Fort Independence Indian Community,1,1,,,,,,,
6,97,Sonoma,Sonoma County,Central California,Graton LAR,Graton Rancheria,1,1,,,,,,,
6,63,Plumas,Plumas County,Northern California,Greenville LAR,Greenville Rancheria,1,1,,,,"confirm tribe name, not listed on BIA site",,,
6,21,Glenn,Glenn County,Central California,Grindstone Indian LAR,Grindstone Rancheria,1,1,,,,,,,
6,45,Mendocino,Mendocino County,Central California,Guidiville LAR,Guidiville Rancheria,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Hoopa Valley LAR,Hoopa Valley Tribe,1,1,,,,"confirm tribe name, not listed on BIA site",,,
6,45,Mendocino,Mendocino County,Central California,Hopland LAR,Hopland Band,1,1,,,,,,,
6,33,Lake,Lake County,Central California,Hopland LAR,Hopland Band,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Inaja and Cosmit LAR,Inaja-Cosmit,1,1,,,,,,,
6,5,Amador,Amador County,Central California,Jackson LAR,Jackson Rancheria,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Jamul LAR,Jamul Indian Village,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Karuk LAR,Karuk Tribe,1,1,,,,"confirm tribe name, not listed on BIA site + google says they don't have an official reservation",,,
6,93,Siskiyou,Siskiyou County,Northern California,Karuk LAR,Karuk Tribe,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,La Jolla LAR,La Jolla Band of Luiseno Indians,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,La Posta LAR,La Posta Band of Mission Indians,1,1,,,,,,,
6,45,Mendocino,Mendocino County,Central California,Laytonville LAR,Laytonville Rancheria,1,1,,,,,,,
6,49,Modoc,Modoc County,Northern California,Likely LAR,Pit River Tribe,1,1,,,,,,,
6,27,Inyo,Inyo County,Central California,Lone Pine LAR,Lone Pine Paiute-Shoshone Tribe,1,1,,,,,,,
6,49,Modoc,Modoc County,Northern California,Lookout LAR,Pit River Tribe,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Los Coyotes LAR,Los Coyotes Band of Cahuilla and Cupeno Indians,1,1,,,,,,,
6,13,Contra Costa,Contra Costa County,Northern California,Lytton LAR,Lytton Rancheria,1,1,,,,tribe not listed on BIA site,,,
6,45,Mendocino,Mendocino County,Central California,Manchester Point Arena LAR,Manchester-Point Arena Rancheria,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Manzanita LAR,Manzanita Bnad of Mission Indians,1,1,,,,tribe not listed on BIA site,,,
6,73,San Diego,San Diego County,Southern California,Mesa Grande LAR,Mesa Grande Band of Mission Indians,1,1,,,,,,,
6,33,Lake,Lake County,Central California,Middletown LAR,Middletown Rancheria,1,1,,,,,,,
6,89,Shasta,Shasta County,Northern California,Montgomery Creek LAR,Montgmery Creek Rancheria,1,1,,,,tribe not listed on BIA site,,,
6,7,Butte,Butte County,Central California,Mooretown LAR,Mooretown Rancheria,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Morongo LAR,Morongo Band of Mission Indians,1,1,,,,,,,
6,39,Madera,Madera County,Central California,Northfork LAR,North Fork Rancheria,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Pala LAR,Pala Band of Mission Indians,1,1,,,,,,,
6,103,Tehama,Tehama County,Central California,Paskenta LAR,Paskenta Band of Nomlaki Indians,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Pauma and Yuima LAR,Pauma Band of Luiseno Indians,1,1,,,,tribe not listed on BIA site,,,
6,73,San Diego,San Diego County,Southern California,Pechanga LAR,Pechanga Band of Mission Indians,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Pechanga LAR,Pechanga Band of Mission Indians,1,1,,,,,,,
6,39,Madera,Madera County,Central California,Picayune LAR,Picayune Rancheria,1,1,,,,,,,
6,45,Mendocino,Mendocino County,Central California,Pinoleville LAR,Pinoleville Pomo Nation,1,1,,,,"confirm tribe name, not listed on BIA site",,,
6,45,Mendocino,Mendocino County,Central California,Potter Valley LAR,Potter Valley Tribe,1,1,,,,,,,
6,93,Siskiyou,Siskiyou County,Northern California,Quartz Valley LAR,Quartz Valley Indian Community,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Ramona LAR,Ramona Band of Mission Indians,1,1,,,,,,,
6,89,Shasta,Shasta County,Northern California,Redding LAR,Redding Rancheria,1,1,,,,"confirm tribe name, not listed on BIA site",,,
6,45,Mendocino,Mendocino County,Central California,Redwood Valley LAR,Redwood Valley Rancheria,1,1,,,,,,,
6,15,Del Norte,Del Norte County,Northern California,Resighini LAR,Resighini Rancheria,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Rincon LAR,Rincon Band of Mission Indians,1,1,,,,,,,
6,89,Shasta,Shasta County,Northern California,Roaring Creek LAR,Roaring Creek Rancheria,1,1,,,,"confirm tribe name, not listed on BIA site",,,
6,33,Lake,Lake County,Central California,Robinson LAR,Robinson Rancheria,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Rohnerville LAR,Bear River Band of Rohnerville Rancheria,1,1,,,,,,,
6,105,Trinity,Trinity County,Central California,Round Valley LAR,Round Valley Indian Tribe,1,1,,,,"confirm tribe name, not listed on BIA site",,,
6,45,Mendocino,Mendocino County,Central California,Round Valley LAR,Round Valley Indian Tribe,1,1,,,,,,,
6,71,San Bernardino,San Bernardino County,Southern California,San Manuel LAR,San Manuel Band of Mission Indians,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,San Pasqual LAR,San Pasqual Band of Diegueno Indians,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Santa Rosa Cahuilla LAR,Santa Rosa Band of Mission Indians,1,1,,,,Confirm that this is the correct tribe name,,,
6,31,Kings,Kings County,Central California,Santa Rosa LAR,Santa Rosa Rancheria,1,1,,,,,,,
6,83,Santa Barbara,Santa Barbara County,Southern California,Santa Ynez LAR,Santa Ynez Band of Mission Indians,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Santa Ysabel LAR,Santa Ysabel Band of Mission Indians,1,1,,,,Confirm tribe name,,,
6,33,Lake,Lake County,Central California,Scotts Valley LAR,Scotts Valley Rancheria,1,1,,,,,,,
6,45,Mendocino,Mendocino County,Central California,Sherwood Valley LAR,Sherwood valley Rancheria,1,1,,,,,,,
6,17,El Dorado,El Dorado County,Central California,Shingle Springs LAR,Shingle Springs Rancheria,1,1,,,,,,,
6,15,Del Norte,Del Norte County,Northern California,Smith River LAR,Tolowa Dee-Ni' Nation,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Soboba LAR,Soboba Band of Luiseno Indians,1,1,,,,,,,
6,97,Sonoma,Sonoma County,Central California,Stewarts Point LAR,Stewarts Point Rancheria,1,1,,,,,,,
6,35,Lassen,Lassen County,Northern California,Susanville LAR,Susanville Indian Rancheria,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Sycuan LAR,Sycuan Band of the Kumeyaay Nation,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Table Bluff LAR,Wiyot Tribe,1,1,,,,,,,
6,19,Fresno,Fresno County,Central California,Table Mountain LAR,Table Mountain Rancheria,1,1,,,,,,,
6,27,Inyo,Inyo County,Central California,Timbisha Shoshone LAR,Timbi-Sha Shoshone Tribe,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Torres-Martinez LAR,Torres-Martinez Desert Cahuilla Indians,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Torres-Martinez LAR,Torres-Martinez Desert Cahuilla Indians,1,1,,,,,,,
6,25,Imperial,Imperial County,Southern California,Torres-Martinez LAR,Torres-Martinez Desert Cahuilla Indians,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Trinidad LAR,Trinidad Rancheria,1,1,,,,,,,
6,107,Tulare,Tulare County,Central California,Tule River LAR,Tule River Trieb,1,1,,,,,,,
6,109,Tuolumne,Tuolumne County,Central California,Tuolumne LAR,Tuolumne Rancheria,1,1,,,,,,,
6,71,San Bernardino,San Bernardino County,Southern California,Twenty-Nine Palms LAR,Twenty-Nine Palms Band of Mission Indians,1,1,,,,,,,
6,65,Riverside,Riverside County,Southern California,Twenty-Nine Palms LAR,Twenty-Nine Palms Band of Mission Indians,1,1,,,,,,,
6,33,Lake,Lake County,Central California,Upper Lake LAR,Upper Lake Rancheria,1,1,,,,,,,
6,67,Sacramento,Sacramento County,Central California,Wilton LAR,Wilton Rancheria,1,1,,,,,,,
6,89,Shasta,Shasta County,Northern California,XL Ranch LAR,Pit River Tribe,1,1,,,,,,,
6,49,Modoc,Modoc County,Northern California,XL Ranch LAR,Pit River Tribe,1,1,,,,,,,
6,113,Yolo,Yolo County,Central California,Yocha Dehe Wintun LAR,Yocha Dehe Wintun Nation,1,1,,,,,,,
6,23,Humboldt,Humboldt County,Northern California,Yurok LAR,Yurok Tribe,1,1,,,,not listed on BIA site,,,
6,15,Del Norte,Del Norte County,Northern California,Yurok LAR,Yurok Tribe,1,1,,,,,,,
6,71,San Bernardino,San Bernardino County,Colorado River,Colorado River LAR,Colorado River Indian Tribes,1,1,,,,not listed on BIA site (probably because its mostly in Arizona,,,
6,65,Riverside,Riverside County,Colorado River,Colorado River LAR,Colorado River Indian Tribes,1,1,,,,,,,
6,25,Imperial,Imperial County,Fort Yuma,Fort Yuma (Quechan) LAR,Quechan Tribe,1,1,,,,,,,
6,3,Alpine,Alpine County,Western Nevada,Woodfords LAR,Washoe Tribe,1,1,,,,,,,
6,21,Glenn,Glenn County,Central California,Sheep Ranch LAR,Miwok Tribe/Sheep Ranch Rancheria,1,1,,,,tribe name not on BIA site,,,
6,91,Sierra,Sierra County,Western Nevada,Reno-Sparks LAR,RenoS-parks Indian Colony,1,1,,,,,,,
6,73,San Diego,San Diego County,Southern California,Viejas LAR,Viejas Band of Kumeyaay Indians,1,1,,,,tribe name not on BIA site,,,
6,71,San Bernardino,San Bernardino County,Colorado River,Fort Mojave LAR,Fort Mojave Indian Tribe,1,1,,,,,,,
6,71,San Bernardino,San Bernardino County,Colorado River,Chemehuevi LAR,Chemehuevi Indian Tribe,1,1,,,,,,,
8,81,Moffat,Moffat County,Uintah & Ouray,Uintah and Ouray LAR,Uintah & Ouray,0,,,,,,,,
8,45,Garfield,Garfield County,Uintah & Ouray,Uintah and Ouray LAR,Uintah & Ouray,0,,,,,,,,
8,103,Rio Blanco,Rio Blanco County,Uintah & Ouray,Uintah and Ouray LAR,Uintah & Ouray,0,,,,,,,,
8,83,Montezuma,Montezuma County,Navajo,Navajo LAR,Ramah Navajo Chapter of Navajo Nation,0,,,,,,,,
8,7,Archuleta,Archuleta County,Jicarilla,Jicarilla Apache LAR,Jicarilla Apache Nation,0,,,,,,,,
8,67,La Plata,La Plata County,Southern Ute,Southern Ute LAR,Southern Ute Tribe,1,1,,,Jurisdiction is exercised in the town of Ignacio only,"Per P.L 98-290 � 1-5, 98 Stat. 201, 202 (May 21, 1984) there is an exception to tribal jurisdiction in the town of Ignacio, where the state may exercise jurisdiciton over the Souther Ute Tribe.","P.L 98-290 � 1-5, 98 Stat. 201, 202 (May 21, 1984). https://www.govinfo.gov/content/pkg/STATUTE-98/pdf/STATUTE-98-Pg201.pdf#page=1.",Confirm jurisdiction applies in this county only as opposed to the entire Southern Ute reservation,
8,83,Montezuma,Montezuma County,Southern Ute,Southern Ute LAR,Southern Ute Tribe,0,,,,,"Per P.L 98-290 � 1-5, 98 Stat. 201, 202 (May 21, 1984) there is an exception to tribal jurisdiction in the town of Ignacio, where the state may exercise jurisdiciton over the Souther Ute Tribe.",,,
8,7,Archuleta,Archuleta County,Southern Ute,Southern Ute LAR,Southern Ute Tribe,0,,,,,"Per P.L 98-290 � 1-5, 98 Stat. 201, 202 (May 21, 1984) there is an exception to tribal jurisdiction in the town of Ignacio, where the state may exercise jurisdiciton over the Souther Ute Tribe.",,,
8,67,La Plata,La Plata County,Ute Mountain Ute,Ute Mountain Ute LAR,Ute Mountain Ute Tribe,0,,,,,,,,
8,83,Montezuma,Montezuma County,Ute Mountain Ute,Ute Mountain Ute LAR,Ute Mountain Ute Tribe,0,,,,,,,,
8,51,Gunnison,Gunnison County,Ute Mountain Ute,Ute Mountain Ute LAR,Ute Mountain Ute Tribe,0,,,,,,,,
9,180,Southeastern Connecticut,Southeastern Connecticut Planning Region,Unknown,Mashnantucket Pequot LAR,Mashantucket Pequot,1,0,,,,,"Mashantucket Pequot Indian Claims Settlement Act Pub. L. No. L 98-134, 94 Stat. 851. https://www.congress.gov/98/statute/STATUTE-97/STATUTE-97-Pg851.pdf.",,
9,180,Southeastern Connecticut,Southeastern Connecticut Planning Region,Unknown,Mohegan of Connecticut LAR,Mohegan,1,0,,,,,"Mohegan Nation of Connecticut Land Claims Settlement Act, P. L. 103�377, � 2, Oct. 19, 1994, 108 Stat. 3501, codified at, 25 U.S.C. � 1775 et seq. https://www.congress.gov/bill/103rd-congress/senate-bill/2329/text. ",,
12,51,Hendry,Hendry County,Seminole,Big Cypress LAR,Seminole Nation,1,1,,,,,,,
12,11,Broward,Broward County,Seminole,Big Cypress LAR,Seminole Nation,1,1,,,,,,,
12,21,Collier,Collier County,Seminole,Big Cypress LAR,Seminole Nation,1,1,,,,,,,
12,43,Glades,Glades County,Seminole,Brighton LAR,Seminole Nation,1,1,,,,,,,
12,111,St. Lucie,St. Lucie County,Unknown,Fort Pierce LAR,Seminole Nation,1,1,,,,,,,
12,21,Collier,Collier County,Seminole,Immokalee LAR,Seminole Nation,1,1,,,,,,,
12,105,Polk,Polk County,Unknown,Tampa LAR,Seminole Nation,1,1,,,,,,,
12,57,Hillsborough,Hillsborough County,Unknown,Tampa LAR,Seminole Nation,1,1,,,,,,,
12,11,Broward,Broward County,Seminole,Hollywood (Dania) LAR,Seminole Nation,1,1,,,,,,,
12,51,Hendry,Hendry County,Eastern Regional Office,Miccosukee LAR,Miccosukee Tribe,1,1,,,,,,,
12,11,Broward,Broward County,Eastern Regional Office,Miccosukee LAR,Miccosukee Tribe,1,1,,,,,,,
12,86,Miami-Dade,Miami-Dade County,Eastern Regional Office,Miccosukee LAR,Miccosukee Tribe,1,1,,,,,,,
12,55,Highlands,Highlands County,Eastern Regional Office,Miccosukee LAR,Miccosukee Tribe,1,1,,,,,,,
12,43,Glades,Glades County,Eastern Regional Office,Miccosukee LAR,Miccosukee Tribe,1,1,,,,,,,
12,21,Collier,Collier County,Eastern Regional Office,Miccosukee LAR,Miccosukee Tribe,1,1,,,,,,,
16,55,Kootenai,Kootenai County,Coeur d'Alene,Coeur D'Alene LAR,Coeur D'Alene,0,,,,"The state assumed jurisdiction of: (1) Compulsory school attendance (2) Juvenile delinquency and youth rehabilitation (3) Dependent, neglected, and abused children (4) Insanities and mental illness (5) Public assistance (6) Domestic relations (7) Operations and management of motor vehicles. Because the state�s assumption of criminal jurisdiction is limited tribes are coded as not being under the stat's jurisdiction although it exercises partial jurisdiction.",,"Office of Performance Evaluations Idaho Legislature. (2017, March). State Jurisdiction in Indian Country. https://legislature.idaho.gov/wp-content/uploads/OPE/Reports/r1702.pdf",yes,
16,9,Benewah,Benewah County,Coeur d'Alene,Coeur D'Alene LAR,Coeur D'Alene,0,,,,"The state assumed jurisdiction of: (1) Compulsory school attendance (2) Juvenile delinquency and youth rehabilitation (3) Dependent, neglected, and abused children (4) Insanities and mental illness (5) Public assistance (6) Domestic relations (7) Operations and management of motor vehicles. Because the state�s assumption of criminal jurisdiction is limited tribes are coded as not being under the stat's jurisdiction although it exercises partial jurisdiction.",,,,
16,57,Latah,Latah County,Coeur d'Alene,Coeur D'Alene LAR,Coeur D'Alene,0,,,,"The state assumed jurisdiction of: (1) Compulsory school attendance (2) Juvenile delinquency and youth rehabilitation (3) Dependent, neglected, and abused children (4) Insanities and mental illness (5) Public assistance (6) Domestic relations (7) Operations and management of motor vehicles. Because the state�s assumption of criminal jurisdiction is limited tribes are coded as not being under the stat's jurisdiction although it exercises partial jurisdiction.",,,,
16,77,Power,Power County,Fort Hall,Fort Hall LAR,Shoshone-Bannock Tribe,0,,,,"The state assumed jurisdiction of: (1) Compulsory school attendance (2) Juvenile delinquency and youth rehabilitation (3) Dependent, neglected, and abused children (4) Insanities and mental illness (5) Public assistance (6) Domestic relations (7) Operations and management of motor vehicles. Because the state�s assumption of criminal jurisdiction is limited tribes are coded as not being under the stat's jurisdiction although it exercises partial jurisdiction.",,,yes,
